HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;Impulse Down - BoS Down;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;88-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;Impulse Down - BoS Up;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;89-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;90-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Down;Impulse Up - BoS Up;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;91-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Down;Impulse Up - BoS Down;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;92-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Down;Impulse Down - ChoCh Down;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;93-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Down;Impulse Down - BoS Down;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;94-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Down;Impulse Down - BoS Up;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;95-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Down;Impulse Up - ChoCh Up;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;96-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Up;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;97-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Down - BoS Up;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;98-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Down - BoS Up;Impulse Down - ChoCh Down;4;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;99-Sell Minor SL theo Minor 2, chot bot 50% tai 3.0R, TP: 10.0R
Impulse Down - ChoCh Down;Impulse Down - BoS Up;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;100-Dung ngoaiTP: FIXED_R0.0
