HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Down - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;34-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Down - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;35-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Up - ChoCh Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;36-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Up - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;37-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Up - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;38-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Down - ChoCh Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;39-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Down - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;40-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Down - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;41-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Up - ChoCh Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;42-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Up - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;43-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Up - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;44-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Down - ChoCh Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;45-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Down - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;46-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Down - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;47-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Up - ChoCh Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;48-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Up - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;49-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Up - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;50-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;51-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
